code_activity,name_activity,ar_name_activity
63313,Technicien de maintenance en matériel optoélectronique,تقني في صيانة العتاد البصري
63312,Technicien de maintenance en matériel médical,تقني في صيانة المعدات الطبية
63311,Technicien de maintenance en matériel de radiologie,تقني في صيانة معدات التصوير بالأشعة
63310,Technicien de maintenance en matériel biomédical,تقني في صيانة المعدات البيو طبية
63309,Technicien de maintenance en électronique,تقني في الصيانة الإلكترونية
63308,Technicien de maintenance de systèmes optroniques,تقني في صيانة الأنظمة البصرية
63307,Technicien de maintenance de systèmes laser,تقني في صيانة أنظمة الليزر
63306,Technicien de maintenance de systèmes de détection,تقني في صيانة أنظمة الكشف
63305,Technicien de maintenance de cartes électroniques,تقني في صيانة البطاقات الإلكترونية
63304,Régleur-étalonneur en électronique,معاير-مضبط في مجال الإلكترونيات
63303,Electromécanicien en installation et maintenance électronique,إلكترو نيكي في التركيب والصيانة الإلكترونية
63302,Electromécanicien de maintenance de cartes électroniques,إلكترو نيكي في صيانة البطاقات الإلكترونية
63301,Technicien supérieur pneumaticien,تقني في صيانة التركيبات الآلية
63217,Technicien supérieur de maintenance industrielle,تقني في صيانة التجهيزات الصناعية
63216,Technicien pneumaticien,تقني في خدمة الهوائيات المضغوطة
63215,Technicien hydropneumatique,تقني في المائية الهوائية المضغوطة
63214,Technicien électrotechnicien en installation d'exploitation,تقني في الكهروميكانيك في نظام التشغيل
63213,Technicien électromécanicien,تقني في الكهروميكانيك
63212,Technicien d'installation industrielle,تقني في التركيب الصناعي
63211,Technicien d'installation d'équipements industriels,تقني في تركيب المعدات الصناعية
63210,Technicien de maintenance industrielle,تقني في صيانة التركيبات الآلية
63209,Technicien de maintenance en équipements industriels,تقني في صيانة التجهيزات الصناعية
63208,Technicien de maintenance d'équipements de production,تقني في صيانة المعدات الإنتاج
63207,Technicien de maintenance d'installations automatisées,تقني في صيانة التجهيزات الآلية
63206,Technicien d'installation en automatisme,تقني في التركيب الآلي
63205,Technicien automaticien de maintenance,تقني سامي في الصيانة الصناعية
63204,Préparateur d'entretien en maintenance industrielle,مدرب صيانة في الصيانة الصناعية
63203,Pneumaticien,مختص في تصنيع الهوائيات المضغوطة
63202,Mécanicien industriel,ميكانيكي صناعي
63201,Mécanicien de maintenance de matériel ferroviaire,ميكانيكي في صيانة عتاد السكك الحديدية
63128,Mécanicien d'entretien,ميكانيكي صيانة
63127,Instrumentiste en équipements industriels,مختص في التجهيزات الصناعية الألية
63126,Hydraulicien industriel de maintenance,هيدروليكي صناعي في الصيانة
63125,Hydraulicien industriel d’installation,هيدروليكي صناعي في التركيب
63124,Hydraulicien,هيدروليكي
63123,Électrotechnicien branche industrie,كهروميكاني في فرع الصناعة
63122,Étlectromécanicien industriel,كهروميكاني صناعي
63121,Étlectromécanicien d'équipements industriels,كهروميكاني في التجهيزات الصناعية
63120,Étlectromécanicien de maintenance industrielle,كهروميكاني في الصيانة الصناعية
63119,Étlectromécanicien,كهروميكاني
63118,Technicien Service Après Vente-SAVde distributeurs automatiques,تقني خدمات ما بعد البيع الموزعات الآلية
63117,Technicien de maintenance de Machines à SousMAS,تقني صيانة الموزعات الآلية للنقود
63116,Opérateur d'installation de distributeurs automatiques,عامل تركيب الموزعات الآلية
63115,Contrôleur Service Après Vente-SAVde distributeurs automatiques,مراقب خدمات ما بعد البيع للموزعات الآلية
63114,Agent de maintenance-SAVde distributeurs automatiques,عون صيانة (خدمات ما بعد البيع) الموزعات الآلية
63113,Agent d'approvisionnement de distributeurs automatiques,عون تموين الموزعات الآلية للنقود
63112,Technicien supérieur réparateur en travaux d'ascenseurs,تقني سامي في تصليح المصاعد
63111,Technicien supérieur de maintenance de travaux d'ascenseurs,تقني سامي في صيانة أشغال المصاعد
63110,Technicien de monte-charges,تقني في مصاعد الحمولات
63109,Technicien de montage d'ascenseurs,تقني في تركيب المصاعد
63108,Technicien de maintenance d'escaliers mécaniques,تقني في صيانة السلالم المتحركة
63107,Technicien de maintenance de remontées mécaniques,تقني في صيانة الرافعات المتحركة
63106,Technicien de maintenance d'ascenseurs,تقني في صيانة المصاعد
63105,Régleur d'ascenseurs,قائم بضبط المصاعد
63104,Monteur d'ascenseurs,قائم تركيب المصاعد
63103,Mécanicien-électricien dépanneur d'ascenseurs,ميكانيكي كهربائي في إصلاح المصاعد
63102,Mécanicien-électricien d'ascenseurs,ميكانيكي كهربائي في المصاعد
63101,Contremaitre de montage d'ascenseurs,رئيس فريق تركيب المصاعد
63006,Contremaitre de maintenance d'ascenseurs,رئيس فريق صيانة المصاعد
63005,Ascensoriste,مكلف بالمصعد
63004,Agent d'entretien et de dépannage d'ascenseurs,عون صيانة وتصليح المصاعد
63003,Agent d'entretien d'ascenseurs,عون صيانة المصاعد
63002,Agent de réparation d'ascenseurs,عون تصليح المصاعد
63001,Agent de montage en ascenseurs,عون تركيب المصاعد
62920,Agent de maintenance d'ascenseurs,عون صيانة المصاعد
62919,Agent de dépannage d'ascenseurs,عون تصليح أعطال المصاعد
62918,Ingénieur d'entretien maintenance et travaux neufs en industrie,مهندس في الصيانة والأشغال الجديدة في الصناعة
62917,Ingénieur d'entretien en maintenance industrielle,مهندس في الصيانة الصناعية
62916,Ingénieur de zone en maintenance industrielle,مهندس منطقة الصيانة الصناعية
62915,Ingénieur de maintenance industrielle,مهندس الصيانة الصناعية
62914,Ingénieur de maintenance en matériels roulants,مهندس في صيانة العتاد المتنقل
62913,Ingénieur de maintenance en matériel de production,مهندس في صيانة معدات الإنتاج
62912,Ingénieur de maintenance en instrumentation,مهندس في الصيانة و الضبط و القياس
62911,Ingénieur de maintenance en appareillage,مهندس في صيانة الأجهزة
62910,Tuyauteur-traceur,مركب – مخطط انابيب
62909,Tuyauteur-soudeur,مركب – ملحم انابيب
62908,Tuyauteur-monteur,مركب – عامل تجميع انابيب
62907,Tuyauteur-cintreur,مركب – مقوس أنابيب
62906,Tuyauteur sur acier inox,مركب أنابيب الفولاذ غير القابل للصدأ (INOX) 
62905,Tuyauteur industriel,مركب أنابيب صناعية
62904,Tuyauteur en matières plastiques,مركب أنابيب البلاستيكية
62903,Tuyauteur en haute pression,مركب أنابيب الضغط العالي
62902,Tuyauteur en constructions navales,مركب أنابيب في البناء البحري
62901,Tuyauteur en basse pression,مركب أنابيب الضغط المنخفض
62808,Chef d'équipe en construction métallique,رئيس فريق في البناء المعدني
62807,Charpentier industriel en construction métalliques,صانع الهياكل المعدنية الصناعية
62806,Soudeur-braseur,لحام-لحام بنظام التلحيم المستمر
62805,Soudeur Tungsten Inert Gas-TIG-,لحام بغاز التنغستن الخامل TIG-
62804,Soudeur Metal Inert Gas-MIG-,لحام بالغاز المعدني الخامل MIG-
62803,Soudeur Metal Active Gas-MAG-,لحام بالغاز المعدني الفعال MAG-
62802,Soudeur au chalumeau oxyacétylénique,لحام بمنفاخ أوكساسيتيلين
62801,Soudeur à l'électrode enrobée,لحام بالأقطاب المغلفة
62710,Soudeur à l'arc semi-automatique,لحام بالقوس شبه الآلي
62709,Soudeur à l'arc électrique,لحام بالقوس الكهربائي
62708,Soudeur à la flamme,لحام باللهب
62707,Soudeur,لحام
62706,Opérateur sur machine de soudage,عامل على آلة التلحيم
62705,Opérateur soudeur sur machine de rechargement,عامل لحام على آلة الشحن
62704,Chef soudeur,لحام أول
62703,Braseur,لحام بالتلحيم المستمر
62702,Technicien modeleur,تقني صانع النماذج 
62701,Remouleur,صانع النماذج
62602,Noyauteur mécanique,مركب النواة ميكانيكيا
62601,Noyauteur manuel,مركب يدوي لنواة القوالب
62514,Noyauteur main sur matériaux non métalliques,مركب يدوي لنواة القوالب غير معدنية
62513,Noyauteur en céramique,مركب نواة بالخزف
62512,Noyauteur,مركب نواة القوالب
62511,Mouleur noyauteur,صانع قوالب تحتوي على نواة
62510,Mouleur mécanique,صانع قوالب ميكانيكيا
62509,Mouleur manuel,صانع يدوي للقوالب
62508,Modeleur sur matériaux non métalliques,صانع نماذج غير المعدنية
62507,Modeleur en fonderie,صانع نماذج لصهر المعادن
62506,Modeleur bois,صانع النماذج الخشبية
62505,Modeleur sur plâtre,صانع النماذج الجبسية
62504,Modeleur résine,صانع النماذج الصمغية
62503,Modeleur plaquiste,صانع النماذج مركب الصفائح
62502,Modeleur mouliste,صانع نماذج القوالب
62501,Modeleur matières plastiques,صانع النماذج البلاستيكية
62422,Modeleur en céramique,صانع النماذج الخزفية
62421,Modeleur,صانع النماذج
62420,Maquettiste modeleur,شاحذ القطع
62419,Chef d'atelier de modelage,رئيس ورشة صناعة النماذج
62418,Technicien poste de commande-PCen production des métaux,تقني مركز التحكم في إنتاج المعادن
62417,Technicien de plancher,تقني ارضية الصب
62416,Opérateur soufflage en production des métaux,مشغل نفخ في إنتاج المعادن
62415,Opérateur polyvalent en production des métaux,مشغل متعدد المهام في إنتاج المعادن
62414,Opérateur en production des métaux,مشغل في إنتاج المعادن
62413,Opérateur de poste commande -PCen production des métaux,مشغل مركز التحكم في إنتاج المعادن
62412,Opérateur de coulée continue,مشغل السبك المستمر
62411,Opérateur mélangeur et refroidisseur en production des métaux,مشغل قائم بالمزج والتبريد في إنتاج المعادن
62410,Fondeur,عامل في صهر المعادن
62409,Dispatcheur de fonte,موزع حديد الزهر
62408,Couleur en production des métaux,عامل الصب في إنتاج المعادن
62407,Contremaître machine de coulée,رئيس فريق آلة صب المعادن المصهور
62406,Contremaître au convertisseur,رئيس فريق في محول صب المعادن
62405,Conducteur couleur en production des métaux,قائد  الصب في إنتاج المعادن 
62404,Chef fondeur,رئيس فريق صهر المعادن
62403,Aide fondeur,مساعد في صهر المعادن
62402,Agent de granulation,عامل في تصنيع الحبيبات المعدنية
62401,Aciériste versée coulée,عامل في صب الحديد المصهور
62319,Aciériste,عامل في تصنيع الفولاذ (الصلب)
62318,Responsable central de coupe,رئيس فريق تقطيع المواد
62317,Oxycoupeur sur machine à lecture optique de matériaux,عامل تقطيع على آلة القراءة البصرية للمواد
62316,Oxycoupeur sur machine à commande numérique –CN,عامل تقطيع بالأكسدة على آلة ذات تحكم رقمي
62315,Oxycoupeur automatique,عامل تقطيع بالأكسدة الأوتوماتكية
62314,Oxycoupeur,عامل تقطيع بالأكسدة
62313,Opérateur sur poinçonneuse,مشغل آلة التخريم
62312,Opérateur sur machine de découpage de matériaux,مشغل آلة تقطيع المواد
62311,Opérateur sur machine de découpage à commande numérique –CN,مشغل آلة التقطيع ذات التحكم الرقمي
62310,Opérateur de planeuse,مشغل آلة التسطيح
62309,Opérateur de cintreuse,مشغل آلة التقويس
62308,Machiniste sur presse de formage des métaux,مشغل آلة ضغط تشكيل المعادن
62307,Machiniste de presse,عامل على آلة الضغط
62306,Guillotineur,عامل التقطيع بالمقص
62305,Emboutisseur,عامل واضع الأختام المعدنية
62304,Coupeur-rompeur en verre plat,عامل تقطيع ونفخ الزجاج المسطح
62303,Coupeur de verre plat,عامل تقطيع الزجاج المسطح
62302,Coupeur au chalumeau,عامل تقطيع بالشعلة
62301,Conducteur de rouleuse cintreuse,مشغل آلة التقويس والتلفيف
62227,Conducteur de plieuse,مشغل آلة الطي
62226,Conducteur de machine de débitage de matériaux,عامل على آلة قص المواد
62225,Conducteur de grignoteuse manuelle,مشغل مقرضة يدوية
62224,Conducteur de dressage des métaux,عامل استقامة المعادن
62223,Cisailleur de laminoir,عامل تقطيع المصفحة
62222,Chef d'équipe machiniste presse,رئيس الفريق العامل على آلة الضغط
62221,Chef d'équipe de débitage de matériaux,رئيس فريق تقطيع المواد
62220,Agent de débitage de matériaux,عون تقطيع المواد
62219,Conducteur de machine de découpage de matériaux,عامل تقطيع المواد
62218,Tourneur sur commande numérique-CN,خراط على آلة ذات تحكم رقمي
62217,Tourneur,خراط
62216,Tailleur en usinage,عامل تقطيع في التصنيع
62215,Régleur conducteur polyvalent,عامل ضبط وتشغيل متعدد المهام
62214,Rectifieur en usinage,عامل تصحيح في التصنيع
62213,Rectifieur d'engrenage,عامل في تصحيح التشابك
62212,Rectifieur,عامل تصحيح في التصنيع
62211,Perceur sur machine radiale,عامل تثقيب على آلة نصف قطرية
62210,Opérateur sur machine d'usinage,مشغل آلة تصنيع
62209,Opérateur régleur usinage,مشغل مكلف بالضبط في التصنيع
62208,Opérateur de centre d'usinage,مشغل مركز التصنيع
62207,Opérateur commande numérique-CN,مشغل آلة ذات تحكم رقمي
62206,Fraiseur sur commande numérique-CN,عامل تفريز على آلة ذات تحكم رقمي
62205,Fraiseur,عامل تفريز
62204,Etinceleur en électroérosion,مشعل الشرارة بالتآكل الكهربائي
62203,Aléseur,عامل تخريط
62202,Affûteur,عامل شحذ في التصنيع
62201,Opérateur sur machine automatisée de production mécanique,عامل على آلة أوتوماتيكية للإنتاج الميكانيكي
62117,Opérateur sur machine automatisée de montage-assemblage mécanique,عامل على آلة أوتوماتيكية للتركيب والتجميع الميكانيكي
62116,Opérateur montage mécanique,عامل التركيب الميكانيكي
62115,Opérateur d'assemblage mécanique,عامل في تجميع وتركيب القطع الميكانيكية
62114,Monteur sur chaîne d'assemblage mécanique,مركب على سلسلة التجميع الميكانيكي
62113,Monteur en lunetterie,فني تركيب المنظار
62112,Monteur de pièces mécaniques,مركب القطع الميكانيكية
62111,Assembleur monteur en pièces mécaniques,عامل التجميع الميكانيكي
62110,Outilleur-mouliste,عامل تصنيع قوالب القطع الميكانيكية – قوالب السباكة
62109,Monteur régleur de systèmes mécaniques,عامل تركيب ضبط الأنظمة الميكانيكية
62108,Monteur ajusteur de fabrication,عامل تركيب تعديل في التصنيع
62107,Mécanicien-ajusteur de fabrication,ميكانيكي التعديل في التصنيع
62106,Mécanicien de précision en fabrication,ميكانيكي التدقيق في التصنيع
62105,Mécanicien mouliste de fabrication,ميكانيكي في قوالب السباكة في التصنيع
62104,Ajusteur-outilleur sur moule métallique,عامل تعديل-تصنيع قوالب القطع الميكانيكية على قوالب معدنية
62103,Ajusteur-outilleur de fabrication,عامل تركيب تعديل في التصنيع
62102,Ajusteur de systèmes mécaniques,عامل تعديل الأنظمة الميكانيكية
62101,Ajusteur de fabrication,عامل تعديل في التصنيع
62008,Rectificateur de composants électroniques,مقوم المكونات الإلكترونية
62007,Opérateur sur machine semi-automatique en production électronique,مشغل على آلة إنتاج شبه الإلكترونية
62006,Opérateur de sous – ensembles électriques,مشغل الأجزاء الكهربائية الفرعية
62005,Opérateur de fabrication de matériels électriques et électroniques,مشغل تصنيع المعدات الكهربائية والإلكترونية
62004,Opérateur de fabrication de matériels électriques,مشغل تصنيع المعدات الكهربائية
62003,Agent d'insertion semi-automatique de composants électroniques,عون الإدماج شبه -أوتوماتيكي للمكونات الإلكترونية
62002,Agent d'insertion manuelle de composants électroniques,عون الإدماج اليدوي للمكونات الإلكترونية
62001,Agent d'insertion automatique de composants électroniques,عون الإدماج الأوتوماتيكي للمكونات الإلكترونية
61910,Agent de production de matériels électriques,عون إنتاج المعدات الكهربائية
61909,Agent de montage et d'insertion de matériels électroniques,عون تركيب وإدماج المعدات الإلكترونية
61908,Agent de montage de matériels électroniques,عون تركيب المعدات الالكترونية
61907,Agent de montage de matériels électriques,عامل تركيب المعدات الكهربائية
61906,Agent d'assemblage de matériels électroniques,عامل تركيب المعدات الإلكترونية
61905,Agent de préparation matières de matériels électroniques,عامل تحضير مواد المعدات الإلكترونية
61904,Opérateur-soudeur à la vague,لحام على آلة تلحيم مموجة
61903,Opérateur sur machines d'insertion de composants électroniques,عامل على آلة إدماج المكونات الإلكترونية
61902,Opérateur sur machines automatisées en production électronique,مشغل خط أوتوماتيكي للإنتاج الإلكتروني
61901,Opérateur sur machines automatisées en production électrique,مشغل خط أوتوماتيكي للإنتاج الكهربائي
61814,Opérateur sur machine à bobiner en électricité,عامل على آلة تلفيف كهربائي
61813,Opérateur de ligne en électronique,مشغل خط إلكتروني
61812,Conducteur de machines à vagues,عامل على آلة تشغيل ماكينات التموُّج
61811,Conducteur de ligne automatisée en production électronique,عامل على آلة أوتوماتيكية في الإنتاج الإلكتروني
61810,Conducteur de ligne automatisée en production électrique,عامل على آلة أوتوماتيكية في الإنتاج الكهربائي
61809,Monteur-câbleur de matériels électriques,مكلف بالتركيب والتوصيل الكهربائي على المعدات الكهربائية
61808,Monteur-câbleur d'armoires électriques,مكلف بالتركيب والتوصيل الكهربائي على الخزانات
61807,Monteur de transformateurs,مركب المحولات
61806,"Monteur –câbleur de ligne moyenne tension-MT /basse tension BT, haute tension-HT/très haute tension-THT",مكلف بالتركيب والتوصيل الكهربائي على خطوط الضغط المتوسط، الضغط المنخفض، الضغط العالي، الضغط العالي جدا
61805,Électromécanicien de régulation,كهروميكانيكي الضبط
61804,Électricien d'équipements industriels,كهربائي التجهيزات الصناعية
61803,Câbleur en haute tension,مكلف بالتوصيل الكهربائي على خطوط الضغط العالي
61802,Câbleur de matériels électriques,مكلف بالتوصيل الكهربائي على المعدات الكهربائية
61801,Câbleur d'armoires électriques,مكلف بالتوصيل الكهربائي على الخزانات
61710,Technicien électro-bobinage,تقني كهرو تلفيف
61709,Technicien d'atelier de bobinage en électricité,تقني ورشة تلفيف كهربائي
61708,Technicien bobineur,تقني مختص في التلفيف
61707,Rebobineur en électricité,عامل مكلف بإعادة التلفيف في الكهرباء
61706,Bobinier électromécanicien,عامل مكلف بالتلفيف كهروميكانيكي
61705,Bobineur en électricité,عامل مكلف بالتلفيف في الكهرباء
61704,Bobineur de maintenance,عامل مكلف بالتلفيف في الصيانة
61703,Bobineur,عامل مكلف بالتلفيف
61702,Technicien qualité produit électricité-électronique,تقني جودة المنتج في الكهرباء والإلكترونيات
61701,Technicien d'essais en électricité,تقني اختبارات في الكهرباء
61609,Technicien de maintenance et contrôle-tests de cartes électroniques,تقني صيانة واختبارات للوحات الإلكترونية
61608,Technicien de contrôle fabrication électronique,تقني مراقبة تصنيع الإلكترونيات
61607,Technicien de contrôle et de tests en électricité,تقني مراقبة واختبارات في الكهرباء
61606,Technicien contrôle qualité électricité-électronique,تقني مراقبة جودة الكهرباء والإلكترونيات
61605,Technicien contrôle final électricité-électronique,تقني مراقبة نهائية في الكهرباء والإلكترونيات
61604,Technicien de contrôle en électrotechnique,تقني مراقبة في الهندسة الكهربائية
61603,Technicien de contrôle en électronique,تقني مراقبة في الإلكترونيات
61602,Opérateur étalonnage électricité-électronique,عامل معايرة الكهرباء والإلكترونيات
61601,Contrôleur qualité en électronique,مراقب جودة في الإلكترونيات
61508,Contrôleur qualité en électricité,مراقب جودة في الكهرباء
61507,Contrôleur en électronique,مراقب في الإلكترونيات
61506,Contrôleur électronicien,مراقب إلكتروني
61505,Contrôleur électricien,مراقب كهربائي
61504,Contrôleur qualité électricité-électronique,مراقب جودة الكهرباء والإلكترونيات
61503,Agent de test et contrôle électricité-électronique,عامل اختبار ومراقبة الكهرباء والإلكترونيات
61502,Technicien polyvalent en mécanique et travail des métaux,تقني متعدد المهام في الميكانيك
61501,Technicien laboratoire en métallurgie,تقني مخبر في التعدين
61417,Technicien essai mécanique,تقني المراقبة في الميكانيك وتشغيل المعادن
61416,Technicien d'analyse et d'essais métallurgiques,تقني تحليل و تجارب التعدين
61415,Technicien contrôle en métallurgie,تقني المراقبة في التعدين
61414,Technicien contrôle en laboratoire de métallurgie,تقني المراقبة في مخبر التعدين
61413,Préparateur contrôle métallurgie,محضر مراقبة التعدين
61412,Opérateur spectromètre en métallurgie,عامل في المقياس الطيفي في التعدين
61411,Laborantin d'essai et contrôle en métallurgie,مخبري التجارب و المراقبة في التعدين
61410,Échantillonneur en mécanique et travail des métaux,مكلف بالعينات في الميكانيك وتشغيل المعادن
61409,Contrôleur qualité polyvalent en mécanique et travail des métaux,مراقب نوعية متعدد المهام في الميكانيك وتشغيل المعادن
61408,Contrôleur marqueur en mécanique et travail des métaux,مراقب مسجّل العلامات في الميكانيك وتشغيل المعادن
61407,Chargé de contrôle en métallurgie,مكلف بالمراقبة في التعدين
61406,Agent d'essai contrôle mécanique,عون تجارب المراقبة الميكانيكية
61405,Agent de laboratoire en contrôle métallurgie,عون مخبر في مراقبة التعدين
61404,Agent de contrôle non destructif en mécanique et travail des métaux,عون المراقبة الغير تدميرية في الميكانيك وتشغيل المعادن
61403,Agent de contrôle destructif en mécanique et travail des métaux,عون مراقبة تدميرية في الميكانيك وتشغيل المعادن
61402,Technicien laboratoire en matériaux de construction,تقني مختبر في مواد البناء
61401,Technicien de laboratoire d'analyse industrielle,تقني مختبر تحليل صناعي
61317,Technicien de contrôle en métallurgie/sidérurgie,تقني مراقبة في الميتالورجيا / الحديد والصلب
61316,Technicien de contrôle en industrie pharmaceutique,تقني مراقبة في صناعة الأدوية
61315,Technicien de contrôle en industrie chimique,تقني مراقبة في صناعة الكيمياء
61314,Technicien de contrôle en industrie alimentaire,تقني مراقبة في صناعة الأغذية
61313,Technicien de contrôle en énergie/pétrochimie,تقني مراقبة في مجال الطاقة / البتروكيماويات
61312,Technicien d'analyse industrielle,تقني تحليل صناعي
61311,Technicien d'analyse en industrie alimentaire,تقني تحليل في صناعة الأغذية
61310,Technicien d'analyse des eaux,تقني تحليل المياه
61309,Technicien d'analyse de la qualité de l'eau,تقني تحليل جودة المياه
61308,Technicien chimiste de contrôle en industrie,تقني كيميائي لمراقبة الصناعة
61307,Technicien chimiste d'analyse industrielle,تقني كيميائي لتحليل الصناعة
61306,Technicien chimie environnement en industrie,تقني في الكيمياء البيئية في الصناعة
61305,Préleveur d'eau,عون مكلف بأخذ عينات الماء
61304,Préleveur d'analyse industrielle,عون مكلف بأخذ العينات للتحليل الصناعي
61303,Laborantin de contrôle en industrie,مساعد مخبري في المراقبة الصناعية
61302,Laborantin d'analyse industrielle,مساعد مخبري في التحليل الصناعي
61301,Formulateur en arômes,محضر تركيبة النكهات
61225,Chimiste d'analyse industrielle,مختص الكيمياء في التحليل الصناعي
61224,Chimiste de contrôle en industrie,مختص الكيمياء في المراقبة الصناعية
61223,Biologiste en analyse pharmaceutique,مختص بيولوجي في التحليل الصيدلاني
61222,Biologiste en contrôle industriel,مختص بيولوجي في المراقبة الصناعية
61221,Biologiste en analyse industrielle,مختص بيولوجي في التحليل الصناعي
61220,Analyste sensoriel,محلل تحسيسي
61219,Ingénieur qualité en industrie,مهندس مراقبة النوعية في الصناعة
61218,Ingénieur métallurgiste en qualité industrielle,مهندس معدني في النوعية الصناعية
61217,Ingénieur métallographie en qualité industrielle,مهندس مختص في التركيب المعدني في النوعية الصناعية
61216,Ingénieur mécanicien en qualité industrielle,مهندس ميكانيكي في النوعية الصناعية
61215,Ingénieur d'essai en qualité industrielle,مهندس التجارب في النوعية الصناعية
61214,Ingénieur contrôle réception en industrie,مهندس مراقبة الاستلام في الصناعة
61213,Ingénieur contrôle qualité en industrie pharmaceutique,مهندس مراقبة النوعية في الصناعية الصيدلانية
61212,Ingénieur contrôle qualité en industrie,مهندس مراقبة النوعية الصناعية
61211,Ingénieur chimiste en qualité industrielle,مهندس كيميائي في النوعية الصناعية
61210,Ingénieur assurance qualité en industrie,مهندس تأمين النوعية الصناعية
61209,Coordinateur qualité environnement en industrie,منسق عام في نوعية البيئة الصناعية
61208,Coordinateur qualité en industrie,منسق النوعية الصناعية
61207,Auditeur qualité en industrie,مدقق نوعية في الصناعة
61206,Technicien planification de production industrielle,تقني في تخطيط الإنتاج الصناعي
61205,Technicien ordonnancement-lancement production,تقني مصلحة تنظيم وإدارة انطلاق الإنتاج
61204,Technicien en gestion de production industrielle,تقني في تسيير الانتاج الصناعي
61203,Technicien méthodes en industrie,تقني في طرق الإنتاج في الصناعة
61202,Responsable méthodes en industrie,رئيس مصلحة طرق الإنتاج الصناعي
61201,Ingénieur méthodes en industrie,مهندس طرق الإنتاج في الصناعة
61113,Inspecteur des appareils sous pression (APVG),مفتش الأجهزة تحت الضغط (APVG)
61112,Inspecteur des appareils électriques (APE),مفتش الأجهزة الكهربائية (APE)
61111,Inspecteur des appareils de levage et de manutention (APL),مفتش أجهزة الرفع والشحن والتفريغ (APL)
61110,Inspecteur de contrôle non destructif -CND,مفتش المراقبة غير التدميرية CND
61109,"Superviseur hygiène, sécurité et environnement en industrie",مدير النظافة، السلامة والبيئة في الصناعة
61108,"Préventeur hygiène, sécurité et environnement en industrie",مكلف بالوقاية في النظافة، السلامة والبيئة في الصناعة
